"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.09944638536249e-51,0.930472910994789,0.122,0.066,4.14388727542849e-47,3,"ARRDC2"
3.53133161926523e-51,0.650202641721427,0.207,0.133,6.97014235010572e-47,3,"FLT3LG"
5.72726266405306e-51,0.317432071192022,0.59,0.492,1.13044710463079e-46,3,"PDCD4"
3.54381455068451e-50,0.94006921950126,0.112,0.059,6.99478116014108e-46,3,"ZSCAN18"
1.33682082464478e-49,0.283967065627215,0.631,0.535,2.63861694368387e-45,3,"CCNL1"
2.92448128565768e-49,0.371154154573083,0.444,0.348,5.77234116163113e-45,3,"GPR171"
2.99014929457071e-49,0.864409115802426,0.125,0.069,5.90195667762366e-45,3,"AC245100.1"
3.15758563032598e-49,0.398063151004432,0.332,0.243,6.23244251713742e-45,3,"SCML4"
7.05099233331748e-49,0.601004730385337,0.227,0.152,1.3917248667502e-44,3,"PPP3CA"
1.3759922145485e-48,0.814957225000672,0.154,0.101,2.71593343307583e-44,3,"SMIM3"
1.37656918678448e-48,1.04771716170133,0.102,0.054,2.71707226087522e-44,3,"PRR7"
1.44930387042451e-48,0.711199270029315,0.173,0.107,2.8606359794439e-44,3,"PFKFB3"
6.90643540715124e-48,0.771507859205954,0.17,0.107,1.36319222066351e-43,3,"RP1-313I6.12"
1.4794533045019e-47,0.389341174419232,0.355,0.266,2.92014493242584e-43,3,"RCSD1"
3.04411830490958e-47,0.351691116084709,0.384,0.293,6.00848071023052e-43,3,"KTN1"
4.6075217151822e-47,0.606025622168418,0.226,0.152,9.09432636142663e-43,3,"RP11-386I14.4"
5.54625387897702e-47,0.961152770962775,0.107,0.056,1.09471959063248e-42,3,"AHR"
1.41170240614689e-46,0.427003543038109,0.3,0.217,2.78641820925273e-42,3,"CH17-189H20.1"
3.23168536218085e-46,0.535287902164057,0.268,0.19,6.37870056787256e-42,3,"PIM1"
4.0795943210419e-46,0.333237187934423,0.445,0.351,8.05230327087249e-42,3,"MIF"
5.67212148340165e-46,0.597735607345643,0.194,0.125,1.11956333839382e-41,3,"MYLIP"
5.67235296238037e-46,0.252172632120601,0.394,0.306,1.11960902771464e-41,3,"TRAT1"
7.13836229725054e-45,0.487291871755643,0.316,0.235,1.40896995023131e-40,3,"PRDM1"
7.42345171711152e-45,0.458528911723034,0.326,0.243,1.46524089992347e-40,3,"PYURF"
8.64324608699492e-45,0.395462289367966,0.34,0.254,1.70600391265106e-40,3,"MZT2A"
9.67415543288618e-45,0.382233960116876,0.331,0.246,1.90948479934307e-40,3,"CCDC85B"
1.46368518088453e-44,0.68139025908727,0.178,0.116,2.88902181002989e-40,3,"TPD52"
2.12110836986763e-44,0.367415288683938,0.444,0.354,4.18664370044474e-40,3,"SFPQ"
4.17323646960395e-44,0.39899676989389,0.364,0.278,8.23713414370427e-40,3,"MZT2B"
4.6154200331903e-44,0.878019913123483,0.118,0.068,9.10991606151102e-40,3,"NCF4"
4.77447179657822e-44,0.322747869788376,0.494,0.403,9.42385243208609e-40,3,"GPBP1"
1.65391326033847e-43,0.351011011104819,0.459,0.369,3.26449399325607e-39,3,"PIP4K2A"
2.85588207594293e-43,0.837343898677863,0.126,0.074,5.63694004149615e-39,3,"LINC00936"
3.6060556256562e-43,0.873521953565466,0.113,0.064,7.11763259392021e-39,3,"P2RX5"
4.87478123688413e-43,0.576918100619706,0.226,0.158,9.6218432053619e-39,3,"NHSL2"
5.22551960992385e-43,0.608531644798918,0.221,0.151,1.03141306060677e-38,3,"TIPARP"
6.94990383356209e-43,0.330928188194077,0.457,0.367,1.37177201866849e-38,3,"UBE2D2"
7.11211025064735e-43,0.763948149593,0.152,0.093,1.40378832127277e-38,3,"TNF"
2.35443549545609e-42,0.366512988056334,0.408,0.321,4.64718478093122e-38,3,"DDX21"
8.03431414411577e-42,0.256208904269822,0.62,0.531,1.58581292576557e-37,3,"RBMX"
9.10328434575595e-42,0.847034887760679,0.112,0.063,1.79680626416531e-37,3,"NFKBID"
9.4137651596325e-42,0.386948791378677,0.335,0.253,1.85808896720826e-37,3,"ATP1A1"
1.33407060151179e-41,0.260629294282022,0.506,0.415,2.63318855326397e-37,3,"RP11-347P5.1"
2.05567723361095e-41,0.508875734479983,0.293,0.22,4.0574957237013e-37,3,"SQSTM1"
