"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.39858618257001e-16,0.781810099678632,0.127,0.077,1.26295294071567e-11,0,"RP11-539L10.2"
6.45585980741546e-16,0.426103891080393,0.267,0.194,1.27425760878766e-11,0,"ZMYM2"
6.91761668488223e-16,0.375520914268178,0.416,0.344,1.36539918126205e-11,0,"PRELID1"
8.78489919331908e-16,0.665065904423113,0.169,0.112,1.73396340277732e-11,0,"UBE2E3"
1.05940263106211e-15,0.632218689421099,0.18,0.12,2.09104891319038e-11,0,"RNF11"
1.26134072063002e-15,0.2990935312902,0.559,0.478,2.48963431437954e-11,0,"RP11-347P5.1"
1.26241330269073e-15,0.583155482855781,0.201,0.138,2.49175137685097e-11,0,"ELK4"
1.48810394902551e-15,0.37004698793026,0.381,0.3,2.93721957458656e-11,0,"TMC6"
1.63380057401904e-15,0.41759645782244,0.313,0.238,3.22479557299879e-11,0,"ASH1L"
1.72727836755723e-15,0.282968085232491,0.588,0.516,3.40930204188445e-11,0,"TAPBP"
1.98350388895529e-15,0.821545010083687,0.106,0.06,3.91503997601996e-11,0,"GALNT2"
2.07416130747904e-15,0.471638499550534,0.287,0.215,4.09397958870214e-11,0,"LAIR1"
2.17723726137782e-15,0.358087993312333,0.412,0.331,4.29743090650755e-11,0,"C19orf60"
3.03814436379195e-15,0.46567022507799,0.28,0.209,5.99668934525255e-11,0,"CCND2"
3.16223023644441e-15,0.604010525747291,0.161,0.104,6.24161004069399e-11,0,"RP1-313I6.12"
3.19048269091884e-15,0.300460716492792,0.518,0.44,6.29737473533561e-11,0,"ACTR2"
3.77479440031508e-15,0.294628445887194,0.575,0.499,7.4506891873419e-11,0,"HNRNPH1"
5.31237428184515e-15,0.437579700572782,0.298,0.225,1.0485564357506e-10,0,"ITGAL"
6.23947316693331e-15,0.316346549518389,0.495,0.419,1.2315472136893e-10,0,"CBX3"
7.32960969701256e-15,0.273955278511222,0.608,0.543,1.44671836199634e-10,0,"RBM3"
8.74032750792559e-15,0.451609594904101,0.285,0.214,1.72516584351435e-10,0,"RPS6KA3"
1.01404193558504e-14,0.621261549137463,0.159,0.103,2.00151597245776e-10,0,"LYSMD2"
1.36181606498569e-14,0.392349882038741,0.252,0.185,2.68795254906875e-10,0,"REL"
1.57570310379955e-14,0.656877244065724,0.151,0.098,3.11012278627955e-10,0,"SPINK2"
1.78836206142824e-14,0.85426192821129,0.104,0.061,3.52986903684706e-10,0,"BHLHE40"
