"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000105388",0.417217095369078,6.73669006464467,3.27937226997352,0.0011534838088827,0.00617517174357188,-1.57046589768227,"CEACAM5","1048","CEA cell adhesion molecule 5","Not Significant"
"ENSG00000256712",-0.241722161898878,1.12249632129973,-3.27865645000343,0.00115631824498391,0.00618876631501338,-1.15208845003743,NA,NA,NA,"Not Significant"
"ENSG00000176974",0.195502129619108,5.76939507557409,3.27825114133961,0.0011579260139849,0.00619579034268708,-1.58050167886317,"SHMT1","6470","serine hydroxymethyltransferase 1","Not Significant"
"ENSG00000139574",-0.238797459243634,-0.620833401065374,-3.27792792384656,0.0011592096329528,0.00620107677918515,-1.02819917764338,"NPFF","8620","neuropeptide FF-amide peptide precursor","Not Significant"
"ENSG00000061656",0.328210717301424,1.12543258104565,3.27770468607306,0.00116009696585526,0.00620293093573009,-1.14471961015038,"SPAG4","6676","sperm associated antigen 4","Not Significant"
"ENSG00000095464",-0.258540017854422,-0.895805281924646,-3.27769192638242,0.00116014770254442,0.00620293093573009,-1.01569343858725,"PDE6C","5146","phosphodiesterase 6C","Not Significant"
"ENSG00000167491",0.200855841339473,6.03395455995166,3.27757048674706,0.00116063068924282,0.00620393188248422,-1.58457920839283,"GATAD2A","54815","GATA zinc finger domain containing 2A","Not Significant"
"ENSG00000087365",0.176940142709177,6.54279664957936,3.2771983018795,0.00116211209673933,0.00621026782907198,-1.57833863485041,"SF3B2","10992","splicing factor 3b subunit 2","Not Significant"
"ENSG00000105825",0.445288169051531,-0.454042995683649,3.27701836829553,0.0011628289157585,0.00621093366642083,-1.04567340968289,"TFPI2","7980","tissue factor pathway inhibitor 2","Not Significant"
"ENSG00000154553",-0.299700180297639,3.82087322215484,-3.27708922132941,0.00116254660261323,0.00621093366642083,-1.44080312272588,"PDLIM3","27295","PDZ and LIM domain 3","Not Significant"
"ENSG00000228716",0.126752981299209,4.62542211410113,3.2765557005174,0.00116467397593493,0.0062192048485833,-1.51955918954442,"DHFR","1719","dihydrofolate reductase","Not Significant"
"ENSG00000104129",-0.0878315966212915,3.87692009448109,-3.27628141232142,0.00116576908525199,0.00622346820136434,-1.44359175557186,"DNAJC17","55192","DnaJ heat shock protein family (Hsp40) member C17","Not Significant"
"ENSG00000229918",-0.430726222322309,-0.910438112193223,-3.27569608660603,0.001168109224871,0.00623437429813464,-1.02321949070296,NA,NA,NA,"Not Significant"
"ENSG00000134970",0.176122292817738,7.55586825267795,3.27549995793492,0.0011688943247556,0.00623458456782162,-1.54620956295208,"TMED7","51014","transmembrane p24 trafficking protein 7","Not Significant"
"ENSG00000173011",0.0818066899360641,5.01050832440253,3.27546349513399,0.00116904033874815,0.00623458456782162,-1.55653667819701,"TADA2B","93624","transcriptional adaptor 2B","Not Significant"
