"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","ONTOLOGY"
"GO:0043198","dendritic shaft",39,-0.469297221149002,-1.81033537212175,0.00317532865618758,0.0136467776515927,0.00643469298407237,2714,"tags=38%, list=15%, signal=33%","84623/2917/27124/2890/91752/2043/124925/2550/27067/3356/149111/4355/1902/401190/4133",0.431707695803346,"CC"
"GO:0106139","symbiont cell surface",18,0.590061329110724,1.80259226472898,0.00817073097129715,0.0290726008978712,0.0137082369041482,3342,"tags=56%, list=19%, signal=45%","717/2633/629/115362/8547/713/2219/720/721/714",0.380730400722792,"CC"
"GO:0005788","endoplasmic reticulum lumen",299,0.357909615960039,1.7951600883728,3.95362074636296e-07,6.72115526881703e-06,3.1691415920498e-06,3263,"tags=31%, list=18%, signal=26%","9601/3309/10970/8542/5034/56886/7184/5954/444/7474/10954/51280/51726/2923/5611/27248/351/813/80267/81567/7873/51237/6469/255738/10525/10130/5479/811/64856/84141/56605/23071/81619/2695/30001/411/5768/55033/6916/80124/2677/4189/3912/3488/64374/80781/5329/412/23753/821/23193/1622/143888/493869/1298/23491/54863/4751/56005/1075/5265/5743/23555/8614/64222/720/54431/5955/8729/23621/567/51148/79070/64167/26258/1306/1282/1066/7076/147111/1302/3491/1462/1605/54982/91522/3915/340267/5571/2098/3895/79642",0.674962860011025,"CC"
"GO:1990204","oxidoreductase complex",102,0.40602542526445,1.79429641627206,0.000152828391514048,0.00110295961800233,0.00052006464066969,5703,"tags=46%, list=32%, signal=32%","5831/5034/5879/6241/50506/3419/4688/64757/5163/55526/2766/10295/1738/1535/3421/6389/4728/4726/594/54539/4702/6240/1737/8050/91942/6391/5160/4720/4704/4722/4697/1743/4715/1629/4723/4710/4725/374291/4709/4706/2653/80777/1727/4696/8974/4724/593",0.518848077743792,"CC"
"GO:0031968","organelle outer membrane",247,0.361044587979181,1.79276958551791,2.50761385543205e-06,3.25139762611105e-05,1.53309052344123e-05,4613,"tags=38%, list=26%, signal=29%","4925/2182/51566/57169/5320/578/637/3099/2023/841/64757/23175/57103/4891/23305/4170/54927/9830/1717/192111/3429/3845/84816/1386/10452/1594/79594/51100/10989/1374/4580/7284/5366/5743/80347/2010/2475/3098/55735/56910/118980/84134/10059/55669/55626/57506/2180/55154/2631/2181/8678/26056/56181/140707/3710/10058/4833/55218/4257/598/79639/445/27113/84883/440574/2309/55315/55156/10204/5298/51703/23111/55326/493856/84947/401505/79135/80305/79877/6198/7416/7419/32/79691/3162/662/55627/4976/139341/340061/79671/25813/9868/7417/54471",0.627256739718528,"CC"
"GO:0017101","aminoacyl-tRNA synthetase multienzyme complex",11,0.67743913080133,1.79138928603822,0.00747118647505612,0.0270874770304167,0.0127722164787746,3518,"tags=64%, list=20%, signal=51%","2058/4141/3376/3735/5859/9521/1615",0.407017918923954,"CC"
"GO:0019867","outer membrane",249,0.35631824245281,1.776414920358,5.06267123566281e-06,5.78051267952545e-05,2.72561225315654e-05,4613,"tags=38%, list=26%, signal=29%","4925/2182/51566/57169/5320/578/637/3099/2023/841/64757/23175/57103/4891/23305/4170/54927/9830/1717/192111/3429/3845/84816/1386/10452/1594/79594/51100/10989/1374/4580/7284/5366/5743/80347/2010/2475/3098/55735/56910/118980/84134/10059/55669/55626/57506/2180/55154/2631/2181/8678/26056/56181/140707/3710/10058/4833/55218/4257/598/79639/445/27113/84883/440574/2309/55315/55156/10204/5298/51703/23111/55326/493856/84947/401505/79135/80305/79877/6198/7416/7419/32/79691/3162/662/55627/4976/139341/340061/79671/25813/9868/7417/54471",0.610526878385931,"CC"
"GO:0005765","lysosomal membrane",444,0.336938093478044,1.75868935576638,6.13535551376374e-08,1.46673342750914e-06,6.91590317982211e-07,3957,"tags=32%, list=22%, signal=25%","5284/4067/10970/55/23120/10211/151636/25851/2357/163/8140/9741/9424/10312/2683/255738/6836/55858/9516/8519/138065/3134/7317/2783/338557/23657/1213/3949/4891/1182/3799/84141/55353/1650/7107/9545/4905/55317/55532/4680/3113/23250/1441/64116/8943/2773/54918/9583/10581/57535/55014/24141/3108/8876/79888/10410/23531/4646/9114/684/8546/64223/4935/56681/51479/5826/523/949/84061/55745/7030/51311/2475/154664/11145/9342/63910/10670/26985/8774/93109/51256/55332/4035/55362/27243/567/3312/6556/2776/164/3136/4647/23200/1183/53/2629/9842/10103/57665/10548/84255/10058/3115/11133/3276/6009/4257/28956/5878/2040/6272/55754/84888/6396/79156/10855/80331/719/967/7879/151556/3119/55315/23385/2782/84925/114885/999/79036/127829/54978/5908/161/10825/302/23400/130340/10043/972/533",0.704975715167238,"CC"
"GO:0005852","eukaryotic translation initiation factor 3 complex",15,0.612062022764086,1.75294969876913,0.0156779950406247,0.0516968370951634,0.0243759577130765,4780,"tags=60%, list=27%, signal=44%","8661/8662/1654/8668/8669/8667/8663/10480/27335",0.352487857583619,"CC"
"GO:0005858","axonemal dynein complex",17,-0.571419244079896,-1.74560428951956,0.00814194917076205,0.0290726008978712,0.0137082369041482,448,"tags=24%, list=3%, signal=23%","118491/25981/144132/56171",0.380730400722792,"CC"
