"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000240787",-0.365237265936081,-1.56951934948283,-3.44775273802926,0.000615654164873925,0.00220839281593378,-0.587140768071262,"NECTIN2P1","127379749","NECTIN2 pseudogene 1","Not Significant"
"ENSG00000267594",-0.683571277140747,-1.0963230798518,-3.44755167474018,0.000616116720766836,0.00220968937464391,-0.677877483994453,NA,NA,NA,"Not Significant"
"ENSG00000115267",0.105513680821155,5.62928531984674,3.44679674498235,0.000617782761244022,0.00221493766892214,-1.34250577252647,"IFIH1","64135","interferon induced with helicase C domain 1","Not Significant"
"ENSG00000230568",-0.25090156109774,0.376470105948179,-3.44683440322099,0.000617698782300283,0.00221493766892214,-0.809936427953533,"SF3A3P1","170548","splicing factor 3a, subunit 3 pseudogene 1","Not Significant"
"ENSG00000240849",0.26539249268724,2.99071410999745,3.4458456341813,0.000619910499950364,0.00222220172001233,-1.08180102789164,"PEDS1","387521","plasmanylethanolamine desaturase 1","Not Significant"
"ENSG00000086504",0.127909338345673,5.04278531463437,3.44561623880515,0.000620420733319263,0.00222366604582254,-1.31740598496556,"MRPL28","10573","mitochondrial ribosomal protein L28","Not Significant"
"ENSG00000084072",-0.0830851717760348,4.80637137062863,-3.44548380673768,0.000620717322473356,0.00222436428922408,-1.3084791279293,"PPIE","10450","peptidylprolyl isomerase E","Not Significant"
"ENSG00000186474",0.478002421391979,1.96942736182513,3.44504775246367,0.000621710366631742,0.00222755766772186,-0.957589694491295,"KLK12","43849","kallikrein related peptidase 12","Not Significant"
"ENSG00000223804",-0.217418422063074,0.434998652254341,-3.4443548845415,0.000623250985724428,0.00223271161186578,-0.81249710657611,NA,NA,NA,"Not Significant"
"ENSG00000133636",-0.633772642627146,6.89409359750808,-3.44415169395206,0.000623762793884383,0.00223417889595822,-1.30895677508776,"NTS","4922","neurotensin","Not Significant"
"ENSG00000142871",0.424785508804429,0.909843948954732,3.44374825252518,0.000624625837908775,0.00223690354142785,-0.828296867482153,"CCN1","3491","cellular communication network factor 1","Not Significant"
"ENSG00000162687",-0.284116926968681,1.77829761994482,-3.44353872251482,0.000625090002739154,0.00223819906616431,-0.961769738055134,"KCNT2","343450","potassium sodium-activated channel subfamily T member 2","Not Significant"
