"cluster","cellAtlas","monacoImmune","Freq"
"10","Hepatocytes","CD4+ T cells",0
"11","Hepatocytes","CD4+ T cells",0
"12","Hepatocytes","CD4+ T cells",0
"13","Hepatocytes","CD4+ T cells",0
"0","HSC_-G-CSF","CD4+ T cells",0
"1","HSC_-G-CSF","CD4+ T cells",0
"2","HSC_-G-CSF","CD4+ T cells",0
"3","HSC_-G-CSF","CD4+ T cells",0
"4","HSC_-G-CSF","CD4+ T cells",0
"5","HSC_-G-CSF","CD4+ T cells",0
"6","HSC_-G-CSF","CD4+ T cells",0
"7","HSC_-G-CSF","CD4+ T cells",0
"8","HSC_-G-CSF","CD4+ T cells",0
"9","HSC_-G-CSF","CD4+ T cells",0
"10","HSC_-G-CSF","CD4+ T cells",0
"11","HSC_-G-CSF","CD4+ T cells",0
"12","HSC_-G-CSF","CD4+ T cells",0
"13","HSC_-G-CSF","CD4+ T cells",0
"0","Macrophage","CD4+ T cells",0
"1","Macrophage","CD4+ T cells",0
"2","Macrophage","CD4+ T cells",0
"3","Macrophage","CD4+ T cells",0
"4","Macrophage","CD4+ T cells",0
"5","Macrophage","CD4+ T cells",0
"6","Macrophage","CD4+ T cells",0
"7","Macrophage","CD4+ T cells",0
"8","Macrophage","CD4+ T cells",0
"9","Macrophage","CD4+ T cells",0
"10","Macrophage","CD4+ T cells",0
"11","Macrophage","CD4+ T cells",0
"12","Macrophage","CD4+ T cells",0
"13","Macrophage","CD4+ T cells",0
"0","MEP","CD4+ T cells",0
"1","MEP","CD4+ T cells",0
"2","MEP","CD4+ T cells",0
"3","MEP","CD4+ T cells",0
"4","MEP","CD4+ T cells",0
"5","MEP","CD4+ T cells",0
"6","MEP","CD4+ T cells",0
"7","MEP","CD4+ T cells",0
"8","MEP","CD4+ T cells",0
"9","MEP","CD4+ T cells",0
"10","MEP","CD4+ T cells",0
"11","MEP","CD4+ T cells",0
"12","MEP","CD4+ T cells",0
"13","MEP","CD4+ T cells",0
"0","Monocyte","CD4+ T cells",0
"1","Monocyte","CD4+ T cells",0
"2","Monocyte","CD4+ T cells",0
"3","Monocyte","CD4+ T cells",0
"4","Monocyte","CD4+ T cells",0
"5","Monocyte","CD4+ T cells",0
"6","Monocyte","CD4+ T cells",0
"7","Monocyte","CD4+ T cells",0
"8","Monocyte","CD4+ T cells",0
"9","Monocyte","CD4+ T cells",0
